node_id,dx_mm,dy_mm,dz_mm,total_mm
25172,0.0000743996,0.0000632481,-0.0001131821,0.0001494851
25173,0.0000676075,0.0000685744,-0.0000830778,0.0001271815
25174,0.0000609877,0.0000736621,-0.0000534659,0.0001095636
25175,0.0000542733,0.0000787297,-0.0000236268,0.0000984996
25176,0.0000479065,0.0000835825,0.0000050322,0.0000964697
25177,0.0000420354,0.0000879986,0.0000318743,0.0001025997
25178,0.0000361411,0.0000922699,0.0000575857,0.0001146125
25179,0.0000303912,0.0000961303,0.0000823445,0.0001301741
25180,0.0000252879,0.0001000586,0.0001067600,0.0001484887
25181,0.0000197809,0.0001033962,0.0001294521,0.0001668530
25182,0.0000147724,0.0001061063,0.0001492030,0.0001836799
25183,0.0000105953,0.0001086587,0.0001661289,0.0001987908
25184,0.0000070434,0.0001106566,0.0001812517,0.0002124774
25185,0.0000040794,0.0001121398,0.0001938690,0.0002240026
25186,0.0000011679,0.0001129994,0.0002040192,0.0002332253
25187,-0.0000012494,0.0001138784,0.0002132467,0.0002417519
25188,-0.0000035434,0.0001139513,0.0002194471,0.0002472944
25189,-0.0000053006,0.0001136540,0.0002234515,0.0002507507
25190,0.0000428986,0.0001041093,-0.0000379641,0.0001188289
25191,0.0000445887,0.0001006640,-0.0000404781,0.0001173024
25192,0.0000479245,0.0000952618,-0.0000451792,0.0001158133
25193,0.0000522118,0.0000892031,-0.0000563702,0.0001177321
25194,0.0000564848,0.0000836122,-0.0000692190,0.0001223634
25195,0.0000608801,0.0000777377,-0.0000842097,0.0001297722
25196,0.0000654801,0.0000723372,-0.0001005290,0.0001400943
25197,0.0000698491,0.0000672443,-0.0001172930,0.0001521787
25198,0.0000749635,0.0000619780,-0.0001357523,0.0001670014
25199,0.0000806881,0.0000566690,-0.0001575702,0.0001858772
25200,0.0000872715,0.0000509763,-0.0001828377,0.0002089127
25201,0.0000935526,0.0000460432,-0.0002069334,0.0002317186
25202,0.0001001672,0.0000412849,-0.0002312560,0.0002553766
25203,0.0000592345,0.0000779778,-0.0000715623,0.0001212865
25204,0.0000527801,0.0000834136,-0.0000427311,0.0001075616
25205,0.0000461536,0.0000883855,-0.0000145879,0.0001007718
25206,0.0000395160,0.0000928576,0.0000141904,0.0001019088
25207,0.0000324868,0.0000967866,0.0000416691,0.0001102694
25208,0.0000260761,0.0000998410,0.0000660301,0.0001225078
25209,0.0000196489,0.0001023768,0.0000886543,0.0001368455
25210,0.0000132388,0.0001040593,0.0001071379,0.0001499404
25211,0.0000079712,0.0001055005,0.0001231677,0.0001623705
25212,0.0000021494,0.0001063049,0.0001370700,0.0001734749
25213,-0.0000022543,0.0001061856,0.0001467852,0.0001811805
25214,-0.0000061816,0.0001061902,0.0001545851,0.0001876463
25215,-0.0000103237,0.0001054141,0.0001590548,0.0001910945
25216,-0.0000128649,0.0001042236,0.0001609813,0.0001922058
25217,-0.0000146547,0.0001026025,0.0001608613,0.0001913593
25218,-0.0000160206,0.0001008734,0.0001587586,0.0001887760
25219,-0.0000170209,0.0000986996,0.0001544926,0.0001841176
25220,-0.0000157356,0.0001039692,0.0000785958,0.0001312802
25221,-0.0000135790,0.0001070077,0.0000949850,0.0001437261
25222,-0.0000097586,0.0001077365,0.0001089742,0.0001535505
25223,-0.0000051883,0.0001075975,0.0001169510,0.0001590021
25224,-0.0000007243,0.0001067800,0.0001217686,0.0001619570
25225,0.0000036446,0.0001062020,0.0001237562,0.0001631188
25226,-0.0000148745,0.0001060749,0.0001116722,0.0001547379
25227,-0.0000187194,0.0001038103,0.0001126302,0.0001543132
25228,-0.0000209694,0.0001011901,0.0001103000,0.0001511464
25229,-0.0000226373,0.0000982337,0.0001052616,0.0001457474
25230,-0.0000235574,0.0000950219,0.0000993966,0.0001395128
25231,-0.0000230389,0.0000915163,0.0000940569,0.0001332394
25232,-0.0000248708,0.0000950931,0.0000721399,0.0001219238
25233,-0.0000233975,0.0000986788,0.0000913974,0.0001365227
25234,-0.0000250058,0.0000877704,0.0000603909,0.0001094349
25235,-0.0000243822,0.0000920229,0.0000803626,0.0001245827
25236,-0.0000235442,0.0000883762,0.0000739437,0.0001176110
25237,-0.0000253371,0.0000917848,0.0000665646,0.0001161777
25238,-0.0000244225,0.0000955314,0.0000863487,0.0001310679
25239,-0.0000205574,0.0001015713,0.0000790279,0.0001303255
25240,-0.0000235241,0.0000984631,0.0000764536,0.0001268603
25241,-0.0000180073,0.0001044709,0.0000962768,0.0001432049
25242,-0.0000213715,0.0001017945,0.0000953192,0.0001410837
25243,-0.0000203345,0.0001003411,0.0001226206,0.0001597424
25244,-0.0000181188,0.0001013809,0.0001366904,0.0001711451
25245,-0.0000153648,0.0001027376,0.0001509400,0.0001832320
25246,-0.0000197534,0.0000996127,0.0001338309,0.0001679988
25247,-0.0000203454,0.0000970598,0.0001296108,0.0001631978
25248,-0.0000203326,0.0000944719,0.0001254711,0.0001583710
25249,-0.0000220412,0.0000949419,0.0001128272,0.0001490964
25250,-0.0000215375,0.0000923750,0.0001102447,0.0001454335
25251,-0.0000216548,0.0000977135,0.0001181262,0.0001548246
25252,-0.0000182318,0.0000990040,0.0001448368,0.0001763856
25253,-0.0000171452,0.0001009728,0.0001482964,0.0001802257
25254,-0.0000187809,0.0000964667,0.0001406118,0.0001715523
25255,-0.0000148108,0.0001049466,0.0001249521,0.0001638480
25256,-0.0000102983,0.0001057625,0.0001355520,0.0001722385
25257,-0.0000063885,0.0001060379,0.0001424892,0.0001777302
25258,-0.0000137331,0.0001044469,0.0001378009,0.0001734555
25259,-0.0000159952,0.0001032100,0.0001403981,0.0001749850
25260,-0.0000180079,0.0001028511,0.0001264760,0.0001640086
25261,-0.0000100357,0.0001054716,0.0001480169,0.0001820274
25262,-0.0000129093,0.0001042777,0.0001501561,0.0001832685
25263,-0.0000056114,0.0001066410,0.0001306586,0.0001687467
25264,-0.0000108334,0.0001066701,0.0001224906,0.0001627877
25265,-0.0000014340,0.0001065527,0.0001346076,0.0001716821
25266,0.0000086572,0.0001113044,0.0000537467,0.0001239045
25267,0.0000106585,0.0001116272,0.0000611215,0.0001277109
25268,0.0000146665,0.0001099860,0.0000663561,0.0001292871
25269,0.0000195353,0.0001072574,0.0000646332,0.0001267408
25270,0.0000238160,0.0001038602,0.0000597874,0.0001221829
25271,0.0000283622,0.0001003989,0.0000512089,0.0001162184
25272,0.0000078336,0.0001102498,0.0000800863,0.0001364925
25273,0.0000018129,0.0001101783,0.0000925197,0.0001438834
25274,-0.0000040996,0.0001089825,0.0001016965,0.0001491180
25275,-0.0000086220,0.0001073330,0.0000760226,0.0001318110
25276,-0.0000032212,0.0001100539,0.0000840781,0.0001385330
25277,-0.0000085954,0.0001086394,0.0000934100,0.0001435334
25278,-0.0000000763,0.0001093083,0.0000667120,0.0001280578
25279,0.0000035611,0.0001116695,0.0000741703,0.0001341044
25280,0.0000155090,0.0001045471,0.0000932034,0.0001409166
25281,0.0000110915,0.0001066466,0.0000964612,0.0001442265
25282,0.0000066318,0.0001085679,0.0000968089,0.0001456123
25283,0.0000176219,0.0001057630,0.0000796124,0.0001335458
25284,0.0000217200,0.0001026686,0.0000737966,0.0001282908
25285,0.0000132500,0.0001082081,0.0000818788,0.0001363404
25286,0.0000055596,0.0001072358,0.0001104832,0.0001540681
25287,0.0000094506,0.0001057145,0.0001105057,0.0001532200
25288,0.0000007758,0.0001082279,0.0001079075,0.0001528329
25289,0.0000415521,0.0001002855,-0.0000209045,0.0001105475
25290,0.0000348699,0.0001042769,0.0000043849,0.0001100400
25291,0.0000281008,0.0001071971,0.0000267688,0.0001140063
25292,0.0000211924,0.0001085644,0.0000474773,0.0001203721
25293,0.0000268790,0.0001110049,0.0000133732,0.0001149931
25294,0.0000309670,0.0001085753,0.0000089479,0.0001132591
25295,0.0000179502,0.0001118336,0.0000364757,0.0001189935
25296,0.0000234109,0.0001103896,0.0000310497,0.0001170386
25297,0.0000170500,0.0001111046,0.0000489704,0.0001226093
25298,0.0000354347,0.0001081298,-0.0000112296,0.0001143406
25299,0.0000383983,0.0001051932,-0.0000151888,0.0001130077
25300,0.0000480476,0.0000888671,-0.0000268181,0.0001045234
25301,0.0000436509,0.0000941014,-0.0000136834,0.0001046313
25302,0.0000393524,0.0000993062,-0.0000033427,0.0001068714
25303,0.0000501239,0.0000891992,-0.0000409256,0.0001101989
25304,0.0000545534,0.0000836185,-0.0000552851,0.0001141252
25305,0.0000458053,0.0000948173,-0.0000290423,0.0001092332
25306,0.0000308368,0.0001013493,0.0000365820,0.0001120751
25307,0.0000373453,0.0000981850,0.0000124030,0.0001057771
25308,0.0000353100,0.0000973510,0.0000267584,0.0001069580
25309,0.0000415775,0.0000934600,0.0000008313,0.0001022944
25310,0.0000263054,0.0001053168,0.0000433162,0.0001168756
25311,0.0000329686,0.0001027229,0.0000209935,0.0001099074
25312,0.0000118014,0.0001044300,0.0001213106,0.0001605028
25313,0.0000140052,0.0001033851,0.0001202191,0.0001591768
25314,0.0000170430,0.0001024870,0.0001172827,0.0001566820
25315,0.0000198633,0.0001009094,0.0001110301,0.0001513438
25316,0.0000230997,0.0000996071,0.0001035073,0.0001454954
25317,0.0000266115,0.0000981494,0.0000944471,0.0001387866
25318,-0.0000099844,0.0001057202,0.0001697482,0.0002002271
25319,-0.0000072824,0.0001070223,0.0001768132,0.0002068084
25320,-0.0000052434,0.0001080743,0.0001833014,0.0002128543
25321,-0.0000025551,0.0001094252,0.0001888056,0.0002182384
25322,-0.0000004403,0.0001103073,0.0001916978,0.0002211695
25323,0.0000017701,0.0001112221,0.0001934629,0.0002231622
25324,-0.0000072789,0.0001079047,0.0001874394,0.0002164022
25325,-0.0000093872,0.0001071645,0.0001899864,0.0002183282
25326,-0.0000108509,0.0001060686,0.0001910416,0.0002187811
25327,-0.0000122392,0.0001047818,0.0001903423,0.0002176217
25328,-0.0000140752,0.0001029522,0.0001711595,0.0002002319
25329,-0.0000116359,0.0001051766,0.0001807743,0.0002094680
25330,-0.0000152525,0.0001008485,0.0001671130,0.0001957800
25331,-0.0000137905,0.0001026827,0.0001788452,0.0002066870
25332,-0.0000125156,0.0001042663,0.0001821847,0.0002102840
25333,-0.0000124680,0.0001044379,0.0001709446,0.0002007107
25334,-0.0000095255,0.0001064022,0.0001801415,0.0002094352
25335,-0.0000032748,0.0001123560,0.0002095324,0.0002377781
25336,-0.0000053599,0.0001104838,0.0002037637,0.0002318513
25337,-0.0000076231,0.0001089276,0.0001977505,0.0002258951
25338,-0.0000034183,0.0001108191,0.0001992345,0.0002280064
25339,-0.0000008778,0.0001121345,0.0002025861,0.0002315514
25340,-0.0000056404,0.0001091615,0.0001940178,0.0002226903
25341,-0.0000084312,0.0001090598,0.0002086642,0.0002355968
25342,-0.0000071361,0.0001101659,0.0002075612,0.0002350938
25343,-0.0000071745,0.0001113915,0.0002166553,0.0002437193
25344,-0.0000053462,0.0001120413,0.0002138145,0.0002414508
25345,-0.0000104423,0.0001069615,0.0001998457,0.0002269099
25346,-0.0000090648,0.0001080693,0.0001999586,0.0002274744
25347,0.0000119524,0.0001041366,0.0001328146,0.0001691951
25348,0.0000076830,0.0001057790,0.0001469190,0.0001811999
25349,0.0000040139,0.0001071243,0.0001595691,0.0001922343
25350,0.0000005875,0.0001077403,0.0001698832,0.0002011682
25351,-0.0000026689,0.0001082327,0.0001780773,0.0002084058
25352,-0.0000032853,0.0001064350,0.0001593839,0.0001916831
25353,0.0000006723,0.0001069051,0.0001594180,0.0001919460
25354,-0.0000067311,0.0001064006,0.0001657142,0.0001970472
25355,-0.0000047100,0.0001071133,0.0001721148,0.0002027781
25356,-0.0000019554,0.0001074716,0.0001678549,0.0001993219
25357,0.0000060531,0.0001054926,0.0001359695,0.0001722006
25358,0.0000010434,0.0001063749,0.0001488201,0.0001829321
25359,0.0000093861,0.0001050086,0.0001352300,0.0001714703
25360,0.0000047416,0.0001061988,0.0001481144,0.0001823144
25361,0.0000122032,0.0001065975,0.0001537839,0.0001875138
25362,0.0000095572,0.0001070085,0.0001568758,0.0001901372
25363,0.0000065782,0.0001070957,0.0001593925,0.0001921425
25364,0.0000137844,0.0001046797,0.0001411181,0.0001762447
25365,0.0000184134,0.0001023379,0.0001234823,0.0001614310
25366,0.0000167236,0.0001040206,0.0001360301,0.0001720586
25367,0.0000218971,0.0001013297,0.0001159188,0.0001555132
25368,0.0000108161,0.0001054504,0.0001449986,0.0001796144
25369,0.0000153193,0.0001031931,0.0001285587,0.0001655621
25370,0.0000028139,0.0001097379,0.0001824135,0.0002128967
25371,0.0000056128,0.0001086524,0.0001709420,0.0002026278
25372,0.0000047560,0.0001102120,0.0001824906,0.0002132419
25373,0.0000080844,0.0001087036,0.0001688160,0.0002009495
25374,0.0000002169,0.0001088676,0.0001809046,0.0002111366
25375,0.0000031273,0.0001083053,0.0001709212,0.0002023706
25376,0.0000355675,0.0000936213,0.0000336973,0.0001056669
25377,0.0000392447,0.0000904927,0.0000237569,0.0001014567
25378,0.0000432079,0.0000867731,0.0000097147,0.0000974211
25379,0.0000472073,0.0000835103,-0.0000042338,0.0000960230
25380,0.0000514517,0.0000801234,-0.0000196498,0.0000972273
25381,0.0000560513,0.0000768918,-0.0000360004,0.0001017356
25382,0.0000372560,0.0000907729,0.0000349605,0.0001041631
25383,0.0000317115,0.0000943952,0.0000578432,0.0001151604
25384,0.0000263275,0.0000974589,0.0000796993,0.0001286209
25385,0.0000218072,0.0001000754,0.0000989740,0.0001424306
25386,0.0000235546,0.0000996962,0.0000799758,0.0001299626
25387,0.0000276162,0.0000969897,0.0000686771,0.0001220090
25388,0.0000174343,0.0001021621,0.0001018138,0.0001452828
25389,0.0000222898,0.0000995848,0.0000891702,0.0001355186
25390,0.0000183141,0.0001014122,0.0001054109,0.0001474154
25391,0.0000297378,0.0000970458,0.0000572280,0.0001165215
25392,0.0000335038,0.0000939251,0.0000463392,0.0001099625
25393,0.0000435101,0.0000861996,0.0000200679,0.0000986216
25394,0.0000393612,0.0000889174,0.0000339707,0.0001030030
25395,0.0000354626,0.0000915939,0.0000464521,0.0001086501
25396,0.0000453068,0.0000846662,0.0000076355,0.0000963295
25397,0.0000496130,0.0000817352,-0.0000072293,0.0000958872
25398,0.0000410982,0.0000875611,0.0000218266,0.0000991585
25399,0.0000281002,0.0000962996,0.0000818313,0.0001294589
25400,0.0000335739,0.0000927689,0.0000586546,0.0001147765
25401,0.0000318540,0.0000944324,0.0000709273,0.0001223227
25402,0.0000376471,0.0000903159,0.0000456898,0.0001079899
25403,0.0000247508,0.0000982601,0.0000913048,0.0001363973
25404,0.0000300903,0.0000950248,0.0000690570,0.0001212600
25405,0.0000743506,0.0000621989,-0.0001293701,0.0001616581
25406,0.0000675603,0.0000680535,-0.0000991212,0.0001379154
25407,0.0000612248,0.0000732565,-0.0000704131,0.0001186297
25408,0.0000550459,0.0000781666,-0.0000426107,0.0001046696
25409,0.0000489802,0.0000826505,-0.0000160672,0.0000974081
25410,0.0000514512,0.0000829362,-0.0000334583,0.0001031751
25411,0.0000564243,0.0000778642,-0.0000521256,0.0001093783
25412,0.0000455458,0.0000871859,-0.0000080147,0.0000986916
25413,0.0000408188,0.0000901573,0.0000128942,0.0000998037
25414,0.0000504442,0.0000825890,-0.0000253990,0.0001000534
25415,0.0000449079,0.0000866445,-0.0000008868,0.0000975950
25416,0.0000639650,0.0000725908,-0.0000894100,0.0001317387
25417,0.0000576030,0.0000779416,-0.0000610572,0.0001145469
25418,0.0000689759,0.0000673811,-0.0001087482,0.0001453412
25419,0.0000626885,0.0000727300,-0.0000801820,0.0001250946
25420,0.0000656933,0.0000693042,-0.0000870768,0.0001292325
25421,0.0000704043,0.0000655326,-0.0001038274,0.0001415324
25422,0.0000756313,0.0000617382,-0.0001225470,0.0001566827
25423,0.0000640972,0.0000705294,-0.0000761346,0.0001219808
25424,0.0000578651,0.0000754515,-0.0000478181,0.0001064325
25425,0.0000595375,0.0000741807,-0.0000593201,0.0001120998
25426,0.0000533022,0.0000789894,-0.0000313780,0.0001003246
25427,0.0000690681,0.0000669352,-0.0000938164,0.0001343586
25428,0.0000625296,0.0000719382,-0.0000649398,0.0001153352
25429,0.0000879083,0.0000509229,-0.0001818313,0.0002082874
25430,0.0000824016,0.0000556442,-0.0001575118,0.0001862693
25431,0.0000765303,0.0000605261,-0.0001307301,0.0001631277
25432,0.0000717175,0.0000644102,-0.0001136825,0.0001490496
25433,0.0000815235,0.0000559647,-0.0001581247,0.0001864981
25434,0.0000772196,0.0000597340,-0.0001376137,0.0001687263
25435,0.0000882787,0.0000513545,-0.0001792990,0.0002063457
25436,0.0000943448,0.0000463987,-0.0002054216,0.0002307635
25437,0.0000820007,0.0000566983,-0.0001511535,0.0001810696
25438,0.0001070621,-0.0000126751,-0.0003060457,0.0003244794
